"Population by sex and age 1841-2020"

"Sex","Age","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Males","Under 1 year",2533,2525,2319,2320,2135,2225,2111,2053,2121,2240,2272
"Males"," 1 year",2460,2507,2493,2321,2327,2151,2223,2132,2085,2138,2268
"Males"," 2 years",2387,2437,2490,2495,2329,2333,2150,2236,2164,2110,2159
"Males"," 3 years",2309,2377,2418,2490,2499,2324,2319,2156,2256,2180,2131
"Males"," 4 years",2256,2272,2365,2419,2503,2499,2299,2313,2193,2286,2199
"Males"," 5 years",2218,2230,2270,2350,2436,2513,2485,2330,2345,2198,2287
"Males"," 6 years",2159,2213,2236,2273,2356,2438,2512,2487,2367,2351,2217
"Males"," 7 years",2085,2135,2206,2248,2284,2343,2436,2535,2508,2397,2371
"Males"," 8 years",2148,2065,2108,2195,2265,2299,2332,2452,2559,2529,2405
"Males"," 9 years",2250,2147,2055,2119,2216,2259,2299,2342,2471,2576,2551
"Males"," 10 years",2077,2244,2142,2042,2124,2230,2247,2318,2360,2488,2601
"Males"," 11 years",2213,2077,2236,2144,2056,2129,2228,2248,2345,2382,2504
"Males"," 12 years",2244,2209,2070,2220,2151,2064,2130,2252,2267,2359,2397
"Males"," 13 years",2313,2241,2207,2078,2242,2148,2069,2146,2267,2292,2376
"Males"," 14 years",2287,2315,2249,2206,2097,2241,2140,2092,2165,2281,2308
"Males"," 15 years",2367,2287,2313,2245,2216,2096,2238,2160,2114,2180,2299
"Males"," 16 years",2418,2366,2291,2327,2277,2229,2097,2255,2190,2126,2196
"Males"," 17 years",2467,2418,2377,2292,2323,2281,2231,2117,2283,2211,2143
"Males"," 18 years",2400,2458,2419,2378,2297,2349,2287,2261,2146,2311,2263
"Males"," 19 years",2530,2413,2478,2445,2408,2341,2408,2341,2356,2208,2388
"Males"," 20 years",2362,2548,2451,2501,2495,2457,2398,2495,2451,2456,2324
"Males"," 21 years",2511,2398,2572,2480,2556,2540,2500,2475,2630,2580,2561
"Males"," 22 years",2363,2546,2417,2600,2535,2631,2598,2593,2618,2717,2680
"Males"," 23 years",2212,2358,2542,2427,2633,2573,2661,2700,2770,2737,2834
"Males"," 24 years",2196,2192,2322,2543,2451,2682,2635,2746,2862,2950,2852
"Males"," 25 years",2348,2191,2150,2307,2572,2466,2718,2738,2907,3091,3105
"Males"," 26 years",2412,2312,2152,2174,2327,2613,2533,2815,3000,3123,3231
"Males"," 27 years",2537,2369,2265,2143,2174,2367,2668,2654,3100,3218,3305
"Males"," 28 years",2501,2476,2331,2266,2196,2196,2398,2786,2892,3270,3316
"Males"," 29 years",2560,2468,2453,2321,2312,2197,2266,2502,2985,3100,3371
"Males"," 30 years",2505,2497,2421,2439,2345,2313,2220,2374,2709,3116,3191
"Males"," 31 years",2282,2439,2467,2403,2453,2344,2336,2307,2562,2857,3240
"Males"," 32 years",2131,2227,2395,2456,2412,2434,2380,2412,2492,2693,2924
"Males"," 33 years",2348,2076,2173,2359,2462,2422,2473,2484,2594,2599,2783
"Males"," 34 years",2271,2269,2038,2149,2365,2451,2461,2532,2649,2718,2678
"Males"," 35 years",2258,2219,2229,2028,2160,2387,2471,2532,2664,2739,2779
"Males"," 36 years",2344,2186,2183,2202,2047,2147,2427,2528,2625,2786,2795
"Males"," 37 years",2349,2306,2144,2162,2219,2053,2173,2485,2673,2711,2844
"Males"," 38 years",2170,2291,2270,2102,2173,2245,2066,2256,2594,2736,2765
"Males"," 39 years",2064,2136,2272,2267,2118,2165,2265,2104,2374,2678,2809
"Males"," 40 years",2068,2010,2103,2244,2270,2135,2193,2312,2235,2451,2711
"Males"," 41 years",2143,2041,1982,2086,2261,2274,2146,2225,2417,2331,2493
"Males"," 42 years",2085,2091,2011,1965,2087,2274,2281,2217,2337,2486,2376
"Males"," 43 years",2248,2048,2062,2001,1968,2097,2280,2327,2317,2421,2512
"Males"," 44 years",2265,2214,2009,2052,2006,1978,2119,2335,2441,2363,2465
"Males"," 45 years",2212,2240,2188,1998,2052,2017,1986,2168,2447,2531,2417
"Males"," 46 years",2253,2162,2225,2177,1991,2048,2023,2030,2251,2501,2551
"Males"," 47 years",2234,2217,2145,2202,2158,1994,2058,2062,2120,2282,2511
"Males"," 48 years",2136,2200,2179,2134,2189,2178,1995,2086,2141,2178,2313
"Males"," 49 years",2312,2112,2178,2155,2125,2189,2189,2040,2160,2195,2215
"Males"," 50 years",2278,2260,2092,2151,2159,2125,2190,2219,2112,2208,2216
"Males"," 51 years",2124,2245,2218,2074,2148,2156,2129,2224,2272,2150,2231
"Males"," 52 years",2186,2087,2235,2201,2061,2147,2164,2147,2259,2317,2189
"Males"," 53 years",2123,2153,2063,2217,2194,2060,2152,2201,2184,2267,2310
"Males"," 54 years",2002,2096,2138,2047,2219,2187,2075,2164,2249,2199,2286
"Males"," 55 years",1947,1985,2090,2128,2041,2214,2179,2092,2214,2245,2195
"Males"," 56 years",1934,1922,1968,2064,2125,2037,2201,2197,2116,2209,2248
"Males"," 57 years",1839,1909,1917,1955,2058,2120,2040,2202,2222,2115,2198
"Males"," 58 years",1711,1812,1886,1905,1939,2042,2121,2044,2225,2226,2118
"Males"," 59 years",1836,1693,1800,1870,1897,1923,2030,2134,2075,2218,2226
"Males"," 60 years",1685,1818,1670,1789,1866,1880,1915,2035,2133,2066,2215
"Males"," 61 years",1578,1671,1798,1660,1776,1857,1876,1912,2031,2130,2066
"Males"," 62 years",1567,1567,1666,1778,1652,1764,1839,1872,1904,2023,2119
"Males"," 63 years",1460,1550,1554,1654,1763,1638,1762,1839,1867,1907,2003
"Males"," 64 years",1414,1450,1537,1541,1644,1755,1627,1744,1834,1850,1885
"Males"," 65 years",1287,1399,1437,1522,1524,1629,1740,1627,1741,1825,1828
"Males"," 66 years",1175,1278,1384,1412,1507,1503,1609,1715,1613,1712,1803
"Males"," 67 years",1135,1163,1263,1369,1404,1497,1490,1598,1694,1596,1691
"Males"," 68 years",960,1120,1150,1241,1351,1389,1478,1471,1582,1681,1578
"Males"," 69 years",859,941,1093,1137,1229,1333,1369,1454,1451,1566,1650
"Males"," 70 years",891,840,928,1079,1110,1211,1320,1345,1431,1430,1544
"Males"," 71 years",845,877,824,913,1060,1090,1185,1299,1317,1400,1408
"Males"," 72 years",848,832,860,813,902,1036,1068,1162,1271,1287,1381
"Males"," 73 years",792,830,817,842,800,889,1014,1033,1144,1257,1264
"Males"," 74 years",768,764,808,809,818,781,866,987,1007,1111,1224
"Males"," 75 years",756,747,742,790,779,802,767,837,967,985,1092
"Males"," 76 years",725,734,719,717,768,760,782,748,812,940,956
"Males"," 77 years",737,698,701,693,693,738,739,753,722,789,915
"Males"," 78 years",718,707,667,683,670,671,708,713,730,703,770
"Males"," 79 years",700,678,674,647,652,637,650,684,683,698,669
"Males"," 80 years",621,656,643,653,609,618,609,621,660,652,671
"Males"," 81 years",558,580,617,612,609,582,589,577,587,633,616
"Males"," 82 years",506,513,545,577,576,569,546,544,533,560,606
"Males"," 83 years",453,466,481,497,538,543,530,507,496,493,519
