"Deaths and crude death rate by sex and age 1841-2019"

"Year","Age","Number Males","Number Females"
"2010","1st year",5,6
"2010","1-4 years",3,2
"2010","5-9 years",0,0
"2010","10-14 years",1,2
"2010","15-19 years",6,5
"2010","20-24 years",7,2
"2010","25-29 years",9,1
"2010","30-34 years",13,5
"2010","35-39 years",12,6
"2010","40-44 years",11,7
"2010","45-49 years",24,15
"2010","50-54 years",31,14
"2010","55-59 years",41,21
"2010","60-64 years",51,40
"2010","65-69 years",74,47
"2010","70-74 years",93,68
"2010","75-79 years",158,115
"2010","80-84 years",199,168
"2010","85-89 years",185,210
"2010","90-94 years",113,148
"2010","95 years and older",29,73
"2011","1st year",3,1
"2011","1-4 years",2,1
"2011","5-9 years",3,1
"2011","10-14 years",2,2
"2011","15-19 years",4,2
"2011","20-24 years",5,4
"2011","25-29 years",9,2
"2011","30-34 years",7,1
"2011","35-39 years",9,4
"2011","40-44 years",13,7
"2011","45-49 years",22,12
"2011","50-54 years",24,20
"2011","55-59 years",34,35
"2011","60-64 years",61,44
"2011","65-69 years",77,52
"2011","70-74 years",96,64
"2011","75-79 years",150,122
"2011","80-84 years",185,168
"2011","85-89 years",167,194
"2011","90-94 years",97,162
"2011","95 years and older",29,89
"2012","1st year",2,3
"2012","1-4 years",2,0
"2012","5-9 years",1,0
"2012","10-14 years",0,2
"2012","15-19 years",2,0
"2012","20-24 years",5,2
"2012","25-29 years",8,3
"2012","30-34 years",14,2
"2012","35-39 years",10,4
"2012","40-44 years",16,13
"2012","45-49 years",16,5
"2012","50-54 years",28,15
"2012","55-59 years",47,27
"2012","60-64 years",65,52
"2012","65-69 years",85,71
"2012","70-74 years",65,59
"2012","75-79 years",110,103
"2012","80-84 years",190,194
"2012","85-89 years",158,203
"2012","90-94 years",103,167
"2012","95 years and older",26,77
"2013","1st year",2,6
"2013","1-4 years",1,2
"2013","5-9 years",1,1
"2013","10-14 years",2,0
"2013","15-19 years",2,2
"2013","20-24 years",8,3
"2013","25-29 years",6,2
"2013","30-34 years",17,2
"2013","35-39 years",8,5
"2013","40-44 years",12,8
"2013","45-49 years",20,14
"2013","50-54 years",30,22
"2013","55-59 years",46,25
"2013","60-64 years",53,50
"2013","65-69 years",94,62
"2013","70-74 years",96,82
"2013","75-79 years",133,114
"2013","80-84 years",210,176
"2013","85-89 years",212,247
"2013","90-94 years",108,144
"2013","95 years and older",26,72
"2014","1st year",3,6
"2014","1-4 years",0,1
"2014","5-9 years",1,1
"2014","10-14 years",0,0
"2014","15-19 years",4,3
"2014","20-24 years",5,5
"2014","25-29 years",6,2
"2014","30-34 years",9,5
"2014","35-39 years",7,8
"2014","40-44 years",11,8
"2014","45-49 years",14,8
"2014","50-54 years",38,19
"2014","55-59 years",57,33
"2014","60-64 years",60,48
"2014","65-69 years",77,61
"2014","70-74 years",93,68
"2014","75-79 years",133,102
"2014","80-84 years",181,173
"2014","85-89 years",178,188
"2014","90-94 years",138,177
"2014","95 years and older",35,83
"2015","1st year",4,5
"2015","1-4 years",3,1
"2015","5-9 years",1,0
"2015","10-14 years",2,1
"2015","15-19 years",6,3
"2015","20-24 years",5,1
"2015","25-29 years",8,2
"2015","30-34 years",11,2
"2015","35-39 years",11,4
"2015","40-44 years",14,13
"2015","45-49 years",16,11
"2015","50-54 years",30,23
"2015","55-59 years",51,35
"2015","60-64 years",38,49
"2015","65-69 years",86,65
"2015","70-74 years",111,84
"2015","75-79 years",108,98
"2015","80-84 years",188,199
"2015","85-89 years",208,227
"2015","90-94 years",121,199
"2015","95 years and older",42,92
"2016","1st year",2,1
"2016","1-4 years",3,2
"2016","5-9 years",0,1
"2016","10-14 years",1,0
"2016","15-19 years",8,0
"2016","20-24 years",4,5
"2016","25-29 years",11,2
"2016","30-34 years",14,3
"2016","35-39 years",16,3
"2016","40-44 years",12,4
"2016","45-49 years",18,10
"2016","50-54 years",20,21
"2016","55-59 years",48,36
"2016","60-64 years",58,49
"2016","65-69 years",94,67
"2016","70-74 years",135,102
"2016","75-79 years",130,121
"2016","80-84 years",194,161
"2016","85-89 years",253,227
"2016","90-94 years",144,221
"2016","95 years and older",32,76
"2017","1st year",5,6
"2017","1-4 years",0,3
"2017","5-9 years",0,2
"2017","10-14 years",3,0
"2017","15-19 years",3,2
"2017","20-24 years",8,2
"2017","25-29 years",10,2
"2017","30-34 years",17,5
"2017","35-39 years",18,5
"2017","40-44 years",11,3
"2017","45-49 years",18,9
"2017","50-54 years",38,17
"2017","55-59 years",57,27
"2017","60-64 years",53,43
"2017","65-69 years",88,53
"2017","70-74 years",122,81
"2017","75-79 years",128,122
"2017","80-84 years",205,185
"2017","85-89 years",189,247
"2017","90-94 years",113,195
"2017","95 years and older",38,106
"2018","1st year",5,2
"2018","1-4 years",1,2
"2018","5-9 years",0,0
"2018","10-14 years",0,0
"2018","15-19 years",8,1
"2018","20-24 years",7,2
"2018","25-29 years",14,0
"2018","30-34 years",17,5
"2018","35-39 years",13,12
"2018","40-44 years",16,6
"2018","45-49 years",16,13
"2018","50-54 years",24,20
"2018","55-59 years",54,33
"2018","60-64 years",71,42
"2018","65-69 years",89,49
"2018","70-74 years",117,80
"2018","75-79 years",131,130
"2018","80-84 years",168,186
"2018","85-89 years",224,246
"2018","90-94 years",116,183
"2018","95 years and older",48,103
"2019","1st year",4,1
"2019","1-4 years",1,0
"2019","5-9 years",0,0
"2019","10-14 years",0,0
"2019","15-19 years",3,1
"2019","20-24 years",4,3
"2019","25-29 years",11,5
"2019","30-34 years",13,5
"2019","35-39 years",12,6
"2019","40-44 years",21,9
"2019","45-49 years",16,14
"2019","50-54 years",27,23
"2019","55-59 years",52,38
"2019","60-64 years",77,44
"2019","65-69 years",100,54
"2019","70-74 years",111,88
"2019","75-79 years",126,109
"2019","80-84 years",181,170
"2019","85-89 years",217,205
"2019","90-94 years",136,219
"2019","95 years and older",45,124
