Year,Municipality,Age,Males,Females
2015,Total,0,4,5
2015,Total,1-4,0,0
2015,Total,20-24,3,0
2015,Total,30-34,0,1
2015,Total,40-44,0,0
2015,Total,55-59,1,0
2015,Total,65-69,0,0
2015,Total,75-79,0,0
2015,Total,85-89,0,0
2015,Total,95-99,0,0
2015,Total,1-4,0,0
2015,Total,10-14,1,0
2015,Total,10-14,1,1
2015,Total,15-19,0,0
2015,Total,15-19,0,0
2015,Total,15-19,0,1
2015,Total,15-19,0,0
2015,Total,15-19,0,2
2015,Total,20-24,5,0
2015,Total,20-24,1,0
2015,Total,20-24,0,1
2015,Total,20-24,0,0
2015,Total,25-29,0,0
2015,Total,25-29,2,0
2015,Total,25-29,3,0
2015,Total,25-29,2,0
2015,Total,25-29,1,0
2015,Total,30-34,3,1
2015,Total,30-34,1,0
2015,Total,30-34,1,1
2015,Total,30-34,3,0
2015,Total,35-39,2,1
2015,Total,35-39,1,1
2015,Total,35-39,3,0
2015,Total,35-39,2,0
2015,Total,35-39,1,1
2015,Total,40-44,1,1
2015,Total,40-44,4,1
2015,Total,40-44,2,1
2015,Total,40-44,3,0
2015,Total,45-49,1,2
2015,Total,45-49,4,4
2015,Total,45-49,2,1
2015,Total,45-49,7,5
2015,Total,45-49,0,1
2015,Total,50-54,2,1
2015,Total,50-54,1,0
2015,Total,50-54,3,3
2015,Total,50-54,4,3
2015,Total,50-54,6,4
2015,Total,55-59,8,5
2015,Total,55-59,6,5
2015,Total,55-59,5,4
2015,Total,55-59,5,4
2015,Total,60-64,6,5
2015,Total,60-64,11,7
2015,Total,60-64,9,5
2015,Total,60-64,9,9
2015,Total,60-64,8,8
2015,Total,65-69,14,6
2015,Total,65-69,4,7
2015,Total,65-69,6,11
2015,Total,65-69,12,12
2015,Total,70-74,6,9
2015,Total,70-74,10,10
2015,Total,70-74,28,16
2015,Total,70-74,10,12
2015,Total,70-74,16,13
2015,Total,75-79,18,10
2015,Total,75-79,14,14
2015,Total,75-79,19,19
2015,Total,75-79,28,12
2015,Total,80-84,25,21
2015,Total,80-84,21,16
2015,Total,80-84,18,16
2015,Total,80-84,20,22
2015,Total,80-84,16,13
2015,Total,85-89,21,25
2015,Total,85-89,34,14
2015,Total,85-89,17,24
2015,Total,85-89,32,30
2015,Total,90-94,34,42
2015,Total,90-94,39,34
2015,Total,90-94,41,43
2015,Total,90-94,42,50
2015,Total,90-94,38,42
2015,Total,95-99,33,39
2015,Total,95-99,50,45
2015,Total,95-99,48,49
2015,Total,95-99,39,52
2015,Total,100+,28,46
2015,Total,100+,32,44
2015,Total,100+,25,42
2015,Total,100+,23,35
2015,Total,100+,13,32
2015,Total,100+,15,27
2015,Total,100+,13,20
2015,Total,100+,3,17
2015,Total,100+,4,7
2015,Total,100+,5,9
2015,Total,1-4,1,1
2015,Total,1-4,1,2
2015,Total,5-9,0,4
2015,Total,5-9,0,1
2015,Total,5-9,0,1
2015,Total,5-9,0,1
2015,Total,5-9,0,1
2015,Total,10-14,0,0
2015,Total,10-14,0,0
2015,Total,10-14,0,1
2016,Total,0,2,1
2016,Total,1-4,1,0
2016,Total,20-24,0,1
2016,Total,30-34,0,1
2016,Total,40-44,2,0
2016,Total,55-59,0,0
2016,Total,65-69,0,0
2016,Total,75-79,0,0
2016,Total,85-89,0,1
2016,Total,95-99,0,0
2016,Total,1-4,1,0
2016,Total,10-14,0,0
2016,Total,10-14,0,0
2016,Total,15-19,0,0
2016,Total,15-19,0,0
2016,Total,15-19,1,0
2016,Total,15-19,1,0
2016,Total,15-19,2,0
2016,Total,20-24,2,0
2016,Total,20-24,2,0
2016,Total,20-24,2,0
2016,Total,20-24,0,0
2016,Total,25-29,0,2
2016,Total,25-29,2,2
2016,Total,25-29,0,1
2016,Total,25-29,2,1
2016,Total,25-29,1,0
2016,Total,30-34,5,0
2016,Total,30-34,3,1
2016,Total,30-34,0,0
2016,Total,30-34,3,2
2016,Total,35-39,2,0
2016,Total,35-39,1,0
2016,Total,35-39,4,1
2016,Total,35-39,4,0
2016,Total,35-39,5,1
2016,Total,40-44,0,0
2016,Total,40-44,5,1
2016,Total,40-44,2,0
2016,Total,40-44,4,1
2016,Total,45-49,1,0
2016,Total,45-49,2,2
2016,Total,45-49,5,1
2016,Total,45-49,2,0
2016,Total,45-49,2,1
2016,Total,50-54,4,0
2016,Total,50-54,1,0
2016,Total,50-54,4,1
2016,Total,50-54,3,4
2016,Total,50-54,6,5
2016,Total,55-59,2,5
2016,Total,55-59,4,3
2016,Total,55-59,3,4
2016,Total,55-59,4,1
2016,Total,60-64,7,8
2016,Total,60-64,9,8
2016,Total,60-64,7,5
2016,Total,60-64,10,8
2016,Total,60-64,11,8
2016,Total,65-69,11,7
2016,Total,65-69,9,8
2016,Total,65-69,15,10
2016,Total,65-69,10,7
2016,Total,70-74,16,9
2016,Total,70-74,8,15
2016,Total,70-74,20,10
2016,Total,70-74,14,10
2016,Total,70-74,17,18
2016,Total,75-79,23,13
2016,Total,75-79,20,16
2016,Total,75-79,23,12
2016,Total,75-79,24,16
2016,Total,80-84,32,20
2016,Total,80-84,26,27
2016,Total,80-84,29,27
2016,Total,80-84,22,19
2016,Total,80-84,26,29
2016,Total,85-89,24,17
2016,Total,85-89,27,26
2016,Total,85-89,32,30
2016,Total,85-89,32,19
2016,Total,90-94,35,36
2016,Total,90-94,46,46
2016,Total,90-94,35,26
2016,Total,90-94,46,34
2016,Total,90-94,53,53
2016,Total,95-99,53,40
2016,Total,95-99,53,39
2016,Total,95-99,53,43
2016,Total,95-99,41,52
2016,Total,100+,44,49
2016,Total,100+,30,47
2016,Total,100+,29,44
2016,Total,100+,27,36
2016,Total,100+,14,45
2016,Total,100+,8,22
2016,Total,100+,10,15
2016,Total,100+,3,16
2016,Total,100+,5,8
2016,Total,100+,2,4
2016,Total,1-4,0,5
2016,Total,1-4,2,3
2016,Total,5-9,1,2
2016,Total,5-9,1,1
2016,Total,5-9,0,0
2016,Total,5-9,0,0
2016,Total,5-9,0,0
2016,Total,10-14,0,0
2016,Total,10-14,0,0
2016,Total,10-14,0,0
2017,Total,0,5,6
2017,Total,1-4,0,1
2017,Total,20-24,0,0
2017,Total,30-34,0,1
2017,Total,40-44,0,1
2017,Total,55-59,0,2
2017,Total,65-69,0,0
2017,Total,75-79,0,0
2017,Total,85-89,0,0
2017,Total,95-99,0,0
2017,Total,1-4,1,0
2017,Total,10-14,1,0
2017,Total,10-14,1,0
2017,Total,15-19,0,0
2017,Total,15-19,0,0
2017,Total,15-19,0,0
2017,Total,15-19,1,0
2017,Total,15-19,0,0
2017,Total,20-24,1,1
2017,Total,20-24,1,1
2017,Total,20-24,1,1
2017,Total,20-24,2,0
2017,Total,25-29,2,0
2017,Total,25-29,1,0
2017,Total,25-29,2,1
2017,Total,25-29,3,0
2017,Total,25-29,3,0
2017,Total,30-34,0,1
2017,Total,30-34,1,1
2017,Total,30-34,3,0
2017,Total,30-34,4,1
2017,Total,35-39,2,0
2017,Total,35-39,4,2
2017,Total,35-39,4,0
2017,Total,35-39,3,2
2017,Total,35-39,4,1
2017,Total,40-44,5,1
2017,Total,40-44,2,2
2017,Total,40-44,5,0
2017,Total,40-44,2,1
2017,Total,45-49,1,1
2017,Total,45-49,1,0
2017,Total,45-49,1,1
2017,Total,45-49,4,0
2017,Total,45-49,4,1
2017,Total,50-54,2,2
2017,Total,50-54,2,2
2017,Total,50-54,2,1
2017,Total,50-54,6,3
2017,Total,50-54,6,1
2017,Total,55-59,3,4
2017,Total,55-59,9,3
2017,Total,55-59,6,3
2017,Total,55-59,11,1
2017,Total,60-64,9,6
2017,Total,60-64,19,7
2017,Total,60-64,11,2
2017,Total,60-64,6,4
2017,Total,60-64,10,7
2017,Total,65-69,11,7
2017,Total,65-69,9,3
2017,Total,65-69,13,11
2017,Total,65-69,13,12
2017,Total,70-74,13,8
2017,Total,70-74,5,9
2017,Total,70-74,16,13
2017,Total,70-74,18,6
2017,Total,70-74,18,12
2017,Total,75-79,18,10
2017,Total,75-79,18,12
2017,Total,75-79,28,11
2017,Total,75-79,22,15
2017,Total,80-84,25,18
2017,Total,80-84,19,15
2017,Total,80-84,28,21
2017,Total,80-84,25,23
2017,Total,80-84,25,22
2017,Total,85-89,28,23
2017,Total,85-89,23,29
2017,Total,85-89,27,25
2017,Total,85-89,29,36
2017,Total,90-94,36,38
2017,Total,90-94,51,27
2017,Total,90-94,43,40
2017,Total,90-94,46,44
2017,Total,90-94,35,49
2017,Total,95-99,49,38
2017,Total,95-99,33,55
2017,Total,95-99,40,56
2017,Total,95-99,32,49
2017,Total,100+,34,35
2017,Total,100+,18,52
2017,Total,100+,24,47
2017,Total,100+,21,33
2017,Total,100+,16,28
2017,Total,100+,9,35
2017,Total,100+,8,25
2017,Total,100+,7,14
2017,Total,100+,5,10
2017,Total,100+,3,12
2017,Total,1-4,1,5
2017,Total,1-4,3,2
2017,Total,5-9,0,1
2017,Total,5-9,0,0
2017,Total,5-9,0,2
2017,Total,5-9,1,0
2017,Total,5-9,0,0
2017,Total,10-14,1,0
2017,Total,10-14,0,0
2017,Total,10-14,0,0
2018,Total,0,5,2
2018,Total,1-4,1,1
2018,Total,20-24,0,1
2018,Total,30-34,0,0
2018,Total,40-44,0,0
2018,Total,55-59,0,0
2018,Total,65-69,0,0
2018,Total,75-79,0,0
2018,Total,85-89,0,0
2018,Total,95-99,0,0
2018,Total,1-4,0,0
2018,Total,10-14,0,0
2018,Total,10-14,0,0
2018,Total,15-19,0,0
2018,Total,15-19,0,0
2018,Total,15-19,1,0
2018,Total,15-19,1,0
2018,Total,15-19,1,0
2018,Total,20-24,3,1
2018,Total,20-24,2,0
2018,Total,20-24,1,0
2018,Total,20-24,2,0
2018,Total,25-29,0,0
2018,Total,25-29,0,1
2018,Total,25-29,4,1
2018,Total,25-29,4,0
2018,Total,25-29,6,0
2018,Total,30-34,1,0
2018,Total,30-34,1,0
2018,Total,30-34,2,0
2018,Total,30-34,4,1
2018,Total,35-39,3,0
2018,Total,35-39,2,0
2018,Total,35-39,5,1
2018,Total,35-39,3,3
2018,Total,35-39,2,5
2018,Total,40-44,0,2
2018,Total,40-44,5,2
2018,Total,40-44,3,2
2018,Total,40-44,3,1
2018,Total,45-49,5,1
2018,Total,45-49,1,2
2018,Total,45-49,0,1
2018,Total,45-49,6,0
2018,Total,45-49,4,2
2018,Total,50-54,2,1
2018,Total,50-54,2,3
2018,Total,50-54,1,4
2018,Total,50-54,7,3
2018,Total,50-54,4,2
2018,Total,55-59,3,4
2018,Total,55-59,4,3
2018,Total,55-59,3,6
2018,Total,55-59,8,4
2018,Total,60-64,6,3
2018,Total,60-64,9,5
2018,Total,60-64,10,5
2018,Total,60-64,8,7
2018,Total,60-64,9,5
2018,Total,65-69,18,11
2018,Total,65-69,12,6
2018,Total,65-69,14,7
2018,Total,65-69,11,9
2018,Total,70-74,20,13
2018,Total,70-74,14,7
2018,Total,70-74,15,9
2018,Total,70-74,20,8
2018,Total,70-74,18,14
2018,Total,75-79,17,9
2018,Total,75-79,19,9
2018,Total,75-79,24,13
2018,Total,75-79,19,14
2018,Total,80-84,23,15
2018,Total,80-84,27,17
2018,Total,80-84,24,21
2018,Total,80-84,25,18
2018,Total,80-84,29,21
2018,Total,85-89,18,22
2018,Total,85-89,26,29
2018,Total,85-89,33,40
2018,Total,85-89,24,27
2018,Total,90-94,32,42
2018,Total,90-94,28,39
2018,Total,90-94,48,45
2018,Total,90-94,36,33
2018,Total,90-94,38,46
2018,Total,95-99,45,55
2018,Total,95-99,55,57
2018,Total,95-99,45,40
2018,Total,95-99,41,48
2018,Total,100+,34,33
2018,Total,100+,30,40
2018,Total,100+,22,40
2018,Total,100+,18,38
2018,Total,100+,12,32
2018,Total,100+,11,32
2018,Total,100+,13,27
2018,Total,100+,9,19
2018,Total,100+,2,5
2018,Total,100+,4,6
2018,Total,1-4,2,4
2018,Total,1-4,3,3
2018,Total,5-9,2,2
2018,Total,5-9,1,2
2018,Total,5-9,1,3
2018,Total,5-9,0,0
2018,Total,5-9,0,0
2018,Total,10-14,0,0
2018,Total,10-14,0,0
2018,Total,10-14,0,0
2019,Total,0,4,1
2019,Total,1-4,1,0
2019,Total,20-24,0,0
2019,Total,30-34,0,0
2019,Total,40-44,0,0
2019,Total,55-59,0,0
2019,Total,65-69,0,0
2019,Total,75-79,0,0
2019,Total,85-89,0,0
2019,Total,95-99,0,0
2019,Total,1-4,0,0
2019,Total,10-14,0,0
2019,Total,10-14,0,0
2019,Total,15-19,0,0
2019,Total,15-19,0,0
2019,Total,15-19,0,0
2019,Total,15-19,1,0
2019,Total,15-19,1,0
2019,Total,20-24,0,0
2019,Total,20-24,1,1
2019,Total,20-24,2,0
2019,Total,20-24,1,0
2019,Total,25-29,1,0
2019,Total,25-29,0,0
2019,Total,25-29,0,3
2019,Total,25-29,1,1
2019,Total,25-29,1,2
2019,Total,30-34,2,0
2019,Total,30-34,2,1
2019,Total,30-34,5,1
2019,Total,30-34,1,0
2019,Total,35-39,3,1
2019,Total,35-39,2,2
2019,Total,35-39,5,2
2019,Total,35-39,2,0
2019,Total,35-39,3,0
2019,Total,40-44,3,1
2019,Total,40-44,2,3
2019,Total,40-44,3,0
2019,Total,40-44,1,2
2019,Total,45-49,4,1
2019,Total,45-49,4,3
2019,Total,45-49,3,1
2019,Total,45-49,4,3
2019,Total,45-49,6,1
2019,Total,50-54,2,1
2019,Total,50-54,4,2
2019,Total,50-54,2,4
2019,Total,50-54,4,3
2019,Total,50-54,4,4
2019,Total,55-59,5,5
2019,Total,55-59,3,4
2019,Total,55-59,6,3
2019,Total,55-59,5,4
2019,Total,60-64,8,7
2019,Total,60-64,10,9
2019,Total,60-64,7,4
2019,Total,60-64,12,7
2019,Total,60-64,7,7
2019,Total,65-69,16,11
2019,Total,65-69,14,5
2019,Total,65-69,13,8
2019,Total,65-69,14,9
2019,Total,70-74,15,12
2019,Total,70-74,21,10
2019,Total,70-74,15,8
2019,Total,70-74,23,11
2019,Total,70-74,17,12
2019,Total,75-79,17,9
2019,Total,75-79,28,14
2019,Total,75-79,20,14
2019,Total,75-79,20,15
2019,Total,80-84,16,16
2019,Total,80-84,26,19
2019,Total,80-84,29,24
2019,Total,80-84,23,25
2019,Total,80-84,24,19
2019,Total,85-89,24,24
2019,Total,85-89,30,16
2019,Total,85-89,25,25
2019,Total,85-89,36,24
2019,Total,90-94,25,27
2019,Total,90-94,37,38
2019,Total,90-94,36,41
2019,Total,90-94,47,40
2019,Total,90-94,50,38
2019,Total,95-99,53,36
2019,Total,95-99,38,56
2019,Total,95-99,37,39
2019,Total,95-99,39,36
2019,Total,100+,39,60
2019,Total,100+,30,50
2019,Total,100+,24,45
2019,Total,100+,24,33
2019,Total,100+,19,31
2019,Total,100+,16,38
2019,Total,100+,7,28
2019,Total,100+,5,20
2019,Total,100+,8,12
