"Guest Nights by Region (Monthly)","","","","","","","","","","","",""
"","Northland","Auckland","Waikato","Bay of Plenty","Hawke's Bay, Gisborne","Taranaki, Manawatu, Wanganui","Wellington","Nelson, Marlborough, Tasman","Canterbury","West Coast","Otago","Southland"
" ","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights","Domestic guest nights"
"2007M10",61,225,145,135,82,109,143,73,206,43,117,28
"2007M11",64,263,137,130,67,101,137,79,223,35,130,28
"2007M12",122,238,175,221,115,110,135,140,247,48,176,33
"2008M01",240,277,298,382,176,160,164,268,341,62,282,37
"2008M02",95,252,177,181,101,124,163,143,243,48,157,43
"2008M03",98,259,186,181,105,138,173,134,296,56,189,41
"2008M04",77,240,160,160,78,106,149,97,228,57,154,41
"2008M05",55,233,127,128,60,91,149,62,179,32,121,30
"2008M06",42,213,112,106,46,82,121,58,152,20,87,23
"2008M07",47,228,131,141,58,126,140,54,205,27,155,25
"2008M08",41,246,124,115,51,127,125,54,171,28,149,21
"2008M09",50,254,137,129,66,128,154,65,197,35,136,26
"2008M10",68,282,164,163,86,124,170,75,238,46,136,32
"2008M11",54,261,139,120,72,105,149,72,226,36,116,34
"2008M12",117,266,186,211,106,102,135,137,237,47,169,33
"2009M01",222,298,283,384,169,166,149,253,325,66,296,45
"2009M02",92,261,169,178,95,119,153,131,234,54,164,37
"2009M03",78,276,171,149,96,115,171,109,244,52,163,45
"2009M04",90,233,182,183,96,121,165,102,249,57,171,38
"2009M05",59,225,122,127,61,97,148,64,175,38,116,29
"2009M06",41,196,111,99,43,84,119,49,142,27,101,19
"2009M07",49,255,136,138,59,134,144,56,206,29,163,24
"2009M08",42,231,121,116,54,125,127,53,180,29,146,25
"2009M09",49,241,141,136,66,137,154,61,199,37,137,28
"2009M10",66,287,157,147,79,116,169,76,235,46,137,34
"2009M11",60,249,135,123,69,92,154,71,228,38,123,33
"2009M12",130,253,183,222,99,117,139,131,249,50,184,36
"2010M01",232,297,323,377,174,157,169,267,329,70,279,42
"2010M02",84,260,165,164,92,112,168,122,223,57,152,42
"2010M03",77,276,171,158,95,126,174,111,252,50,165,46
"2010M04",90,259,171,175,96,114,158,99,255,51,179,45
"2010M05",49,226,108,112,53,83,132,52,157,33,105,27
"2010M06",45,215,115,121,50,86,128,46,156,25,111,25
"2010M07",48,254,135,156,59,121,140,52,207,29,152,27
"2010M08",42,256,112,116,53,109,116,54,189,28,139,23
"2010M09",47,265,131,140,62,120,146,59,214,32,135,23
