Area,Age,Sex,Year at 30 June,Value,Flags
"Rodney local board area","15-19 Years","Female","1996",1200,
"Rodney local board area","15-19 Years","Female","1997",1200,
"Rodney local board area","15-19 Years","Female","1998",1220,
"Rodney local board area","15-19 Years","Female","1999",1250,
"Rodney local board area","15-19 Years","Female","2000",1330,
"Hibiscus and Bays local board area","15-19 Years","Female","1996",2270,
"Hibiscus and Bays local board area","15-19 Years","Female","1997",2260,
"Hibiscus and Bays local board area","15-19 Years","Female","1998",2320,
"Hibiscus and Bays local board area","15-19 Years","Female","1999",2370,
"Hibiscus and Bays local board area","15-19 Years","Female","2000",2510,
"Upper Harbour local board area","15-19 Years","Female","1996",810,
"Upper Harbour local board area","15-19 Years","Female","1997",910,
"Upper Harbour local board area","15-19 Years","Female","1998",980,
"Upper Harbour local board area","15-19 Years","Female","1999",1050,
"Upper Harbour local board area","15-19 Years","Female","2000",1130,
"Kaipatiki local board area","15-19 Years","Female","1996",2710,
"Kaipatiki local board area","15-19 Years","Female","1997",2690,
"Kaipatiki local board area","15-19 Years","Female","1998",2770,
"Kaipatiki local board area","15-19 Years","Female","1999",2850,
"Kaipatiki local board area","15-19 Years","Female","2000",2920,
"Devonport-Takapuna local board area","15-19 Years","Female","1996",1830,
"Devonport-Takapuna local board area","15-19 Years","Female","1997",1820,
"Devonport-Takapuna local board area","15-19 Years","Female","1998",1850,
"Devonport-Takapuna local board area","15-19 Years","Female","1999",1850,
"Devonport-Takapuna local board area","15-19 Years","Female","2000",1830,
"Henderson-Massey local board area","15-19 Years","Female","1996",3080,
"Henderson-Massey local board area","15-19 Years","Female","1997",3010,
"Henderson-Massey local board area","15-19 Years","Female","1998",3100,
"Henderson-Massey local board area","15-19 Years","Female","1999",3170,
"Henderson-Massey local board area","15-19 Years","Female","2000",3300,
"Waitakere Ranges local board area","15-19 Years","Female","1996",1340,
"Waitakere Ranges local board area","15-19 Years","Female","1997",1390,
"Waitakere Ranges local board area","15-19 Years","Female","1998",1430,
"Waitakere Ranges local board area","15-19 Years","Female","1999",1450,
"Waitakere Ranges local board area","15-19 Years","Female","2000",1460,
"Aotea/Great Barrier local board area","15-19 Years","Female","1996",20,
"Aotea/Great Barrier local board area","15-19 Years","Female","1997",25,
"Aotea/Great Barrier local board area","15-19 Years","Female","1998",20,
"Aotea/Great Barrier local board area","15-19 Years","Female","1999",30,
"Aotea/Great Barrier local board area","15-19 Years","Female","2000",25,
"Waiheke local board area","15-19 Years","Female","1996",150,
"Waiheke local board area","15-19 Years","Female","1997",170,
"Waiheke local board area","15-19 Years","Female","1998",170,
"Waiheke local board area","15-19 Years","Female","1999",170,
"Waiheke local board area","15-19 Years","Female","2000",190,
"Waitemata local board area","15-19 Years","Female","1996",1490,
"Waitemata local board area","15-19 Years","Female","1997",1570,
"Waitemata local board area","15-19 Years","Female","1998",1680,
"Waitemata local board area","15-19 Years","Female","1999",1720,
"Waitemata local board area","15-19 Years","Female","2000",1730,
"Whau local board area","15-19 Years","Female","1996",2070,
"Whau local board area","15-19 Years","Female","1997",2090,
"Whau local board area","15-19 Years","Female","1998",2220,
"Whau local board area","15-19 Years","Female","1999",2290,
"Whau local board area","15-19 Years","Female","2000",2290,
"Albert-Eden local board area","15-19 Years","Female","1996",2790,
"Albert-Eden local board area","15-19 Years","Female","1997",2920,
"Albert-Eden local board area","15-19 Years","Female","1998",3050,
"Albert-Eden local board area","15-19 Years","Female","1999",3100,
"Albert-Eden local board area","15-19 Years","Female","2000",3060,
"Puketapapa local board area","15-19 Years","Female","1996",1790,
"Puketapapa local board area","15-19 Years","Female","1997",1810,
"Puketapapa local board area","15-19 Years","Female","1998",1880,
"Puketapapa local board area","15-19 Years","Female","1999",1940,
"Puketapapa local board area","15-19 Years","Female","2000",2010,
"Orakei local board area","15-19 Years","Female","1996",2310,
"Orakei local board area","15-19 Years","Female","1997",2290,
"Orakei local board area","15-19 Years","Female","1998",2330,
"Orakei local board area","15-19 Years","Female","1999",2300,
"Orakei local board area","15-19 Years","Female","2000",2290,
"Maungakiekie-Tamaki local board area","15-19 Years","Female","1996",2010,
"Maungakiekie-Tamaki local board area","15-19 Years","Female","1997",2070,
"Maungakiekie-Tamaki local board area","15-19 Years","Female","1998",2100,
"Maungakiekie-Tamaki local board area","15-19 Years","Female","1999",2080,
"Maungakiekie-Tamaki local board area","15-19 Years","Female","2000",2090,
"Howick local board area","15-19 Years","Female","1996",3310,
"Howick local board area","15-19 Years","Female","1997",3330,
"Howick local board area","15-19 Years","Female","1998",3410,
"Howick local board area","15-19 Years","Female","1999",3490,
"Howick local board area","15-19 Years","Female","2000",3650,
"Mangere-Otahuhu local board area","15-19 Years","Female","1996",2610,
"Mangere-Otahuhu local board area","15-19 Years","Female","1997",2640,
"Mangere-Otahuhu local board area","15-19 Years","Female","1998",2670,
"Mangere-Otahuhu local board area","15-19 Years","Female","1999",2650,
"Mangere-Otahuhu local board area","15-19 Years","Female","2000",2590,
"Otara-Papatoetoe local board area","15-19 Years","Female","1996",2770,
"Otara-Papatoetoe local board area","15-19 Years","Female","1997",2790,
"Otara-Papatoetoe local board area","15-19 Years","Female","1998",2850,
"Otara-Papatoetoe local board area","15-19 Years","Female","1999",2860,
"Otara-Papatoetoe local board area","15-19 Years","Female","2000",2880,
"Manurewa local board area","15-19 Years","Female","1996",2280,
"Manurewa local board area","15-19 Years","Female","1997",2350,
"Manurewa local board area","15-19 Years","Female","1998",2470,
"Manurewa local board area","15-19 Years","Female","1999",2490,
"Manurewa local board area","15-19 Years","Female","2000",2570,
"Papakura local board area","15-19 Years","Female","1996",1490,
"Papakura local board area","15-19 Years","Female","1997",1440,
"Papakura local board area","15-19 Years","Female","1998",1390,
"Papakura local board area","15-19 Years","Female","1999",1400,
"Papakura local board area","15-19 Years","Female","2000",1400,
"Franklin local board area","15-19 Years","Female","1996",1510,
"Franklin local board area","15-19 Years","Female","1997",1530,
"Franklin local board area","15-19 Years","Female","1998",1550,
"Franklin local board area","15-19 Years","Female","1999",1600,
"Franklin local board area","15-19 Years","Female","2000",1640,
"Rodney local board area","20-24 Years","Female","1996",910,
"Rodney local board area","20-24 Years","Female","1997",920,
"Rodney local board area","20-24 Years","Female","1998",900,
"Rodney local board area","20-24 Years","Female","1999",880,
"Rodney local board area","20-24 Years","Female","2000",850,
"Hibiscus and Bays local board area","20-24 Years","Female","1996",1880,
"Hibiscus and Bays local board area","20-24 Years","Female","1997",1930,
"Hibiscus and Bays local board area","20-24 Years","Female","1998",1910,
"Hibiscus and Bays local board area","20-24 Years","Female","1999",1820,
"Hibiscus and Bays local board area","20-24 Years","Female","2000",1780,
"Upper Harbour local board area","20-24 Years","Female","1996",770,
"Upper Harbour local board area","20-24 Years","Female","1997",810,
"Upper Harbour local board area","20-24 Years","Female","1998",890,
"Upper Harbour local board area","20-24 Years","Female","1999",960,
"Upper Harbour local board area","20-24 Years","Female","2000",1030,
"Kaipatiki local board area","20-24 Years","Female","1996",3110,
"Kaipatiki local board area","20-24 Years","Female","1997",3070,
"Kaipatiki local board area","20-24 Years","Female","1998",2950,
"Kaipatiki local board area","20-24 Years","Female","1999",2800,
"Kaipatiki local board area","20-24 Years","Female","2000",2730,
"Devonport-Takapuna local board area","20-24 Years","Female","1996",1900,
"Devonport-Takapuna local board area","20-24 Years","Female","1997",1830,
"Devonport-Takapuna local board area","20-24 Years","Female","1998",1760,
"Devonport-Takapuna local board area","20-24 Years","Female","1999",1720,
"Devonport-Takapuna local board area","20-24 Years","Female","2000",1730,
"Henderson-Massey local board area","20-24 Years","Female","1996",3310,
"Henderson-Massey local board area","20-24 Years","Female","1997",3330,
"Henderson-Massey local board area","20-24 Years","Female","1998",3230,
"Henderson-Massey local board area","20-24 Years","Female","1999",3180,
"Henderson-Massey local board area","20-24 Years","Female","2000",3120,
"Waitakere Ranges local board area","20-24 Years","Female","1996",1350,
"Waitakere Ranges local board area","20-24 Years","Female","1997",1330,
"Waitakere Ranges local board area","20-24 Years","Female","1998",1320,
"Waitakere Ranges local board area","20-24 Years","Female","1999",1280,
"Waitakere Ranges local board area","20-24 Years","Female","2000",1280,
"Aotea/Great Barrier local board area","20-24 Years","Female","1996",25,
"Aotea/Great Barrier local board area","20-24 Years","Female","1997",25,
"Aotea/Great Barrier local board area","20-24 Years","Female","1998",20,
"Aotea/Great Barrier local board area","20-24 Years","Female","1999",20,
"Aotea/Great Barrier local board area","20-24 Years","Female","2000",15,
"Waiheke local board area","20-24 Years","Female","1996",150,
"Waiheke local board area","20-24 Years","Female","1997",150,
"Waiheke local board area","20-24 Years","Female","1998",150,
"Waiheke local board area","20-24 Years","Female","1999",140,
"Waiheke local board area","20-24 Years","Female","2000",140,
"Waitemata local board area","20-24 Years","Female","1996",2940,
"Waitemata local board area","20-24 Years","Female","1997",3090,
"Waitemata local board area","20-24 Years","Female","1998",3260,
"Waitemata local board area","20-24 Years","Female","1999",3440,
"Waitemata local board area","20-24 Years","Female","2000",3680,
