region,year,"15-19","20-24","25-29","30-34","35-39","40-44","45+"
Northland Region,1996,54.5,145.9,147.4,103.6,39.7,7.0,0.5
Auckland Region,1996,31.3,75.8,114.8,113.7,54.5,10.3,0.5
Waikato Region,1996,38.5,99.3,132.9,106.2,39.6,6.7,0.4
Bay of Plenty Region,1996,55.1,128.7,138.8,103.0,40.1,6.7,0.3
Gisborne Region,1996,60.0,140.4,148.3,120.0,43.1,9.4,0.7
Hawke's Bay Region,1996,49.7,127.2,139.2,100.5,41.0,5.5,0.3
Taranaki Region,1996,36.5,105.2,129.7,101.0,32.1,5.1,0.3
Manawatu-Wanganui Region,1996,39.5,88.0,136.3,96.2,36.3,7.8,0.3
Wellington Region,1996,27.8,64.9,100.3,105.1,51.3,8.3,0.4
Tasman Region,1996,14.2,77.7,132.8,102.2,36.4,7.4,0.2
Nelson Region,1996,28.9,68.0,100.6,91.3,40.8,6.1,0.7
Marlborough Region,1996,30.2,98.9,133.6,101.5,35.2,6.3,0.2
West Coast Region,1996,32.7,104.3,131.3,94.3,34.1,8.4,0.9
Canterbury Region,1996,21.3,56.1,108.4,104.8,43.0,6.9,0.3
Otago Region,1996,15.9,44.2,105.7,101.5,37.4,6.5,0.1
Southland Region,1996,33.4,101.1,128.2,95.2,30.6,4.7,0.2
Northland Region,2001,41.5,129.8,141.2,108.1,49.7,9.3,0.8
Auckland Region,2001,25.4,71.5,107.5,116.8,63.1,13.5,0.7
Waikato Region,2001,33.1,89.9,128.3,111.8,47.5,9.3,0.2
Bay of Plenty Region,2001,41.2,121.2,131.6,112.3,46.8,8.6,0.3
Gisborne Region,2001,53.9,148.6,139.8,117.2,51.7,11.3,0.2
Hawke's Bay Region,2001,39.5,120.9,134.7,109.2,46.9,9.3,0.1
Taranaki Region,2001,31.4,105.3,130.9,104.8,39.1,6.5,0.1
Manawatu-Wanganui Region,2001,33.9,87.6,123.9,103.0,42.4,9.0,0.5
Wellington Region,2001,23.9,58.4,92.6,110.3,60.4,11.9,0.5
Tasman Region,2001,14.0,73.4,140.3,112.8,46.8,6.5,0.2
Nelson Region,2001,23.9,77.7,105.7,103.2,47.8,10.2,0.4
Marlborough Region,2001,22.7,87.4,117.0,96.2,44.9,7.5,0.5
West Coast Region,2001,32.1,99.8,119.2,93.8,39.3,8.4,0.3
Canterbury Region,2001,18.3,51.6,98.2,111.9,51.8,8.5,0.4
Otago Region,2001,12.3,37.2,102.4,105.8,44.9,8.6,0.1
