"Population by municipalities, sex and age 1 January 1998-2020 - Current municipalities"

"Municipality","Age","2015 Males","2015 Females","2016 Males","2016 Females","2017 Males","2017 Females","2018 Males","2018 Females","2019 Males","2019 Females","2020 Males","2020 Females"
"Total","In 1st year",2225,2133,2111,2002,2053,1996,2121,1972,2240,1991,2272,2190
"Total","1 year",2151,2201,2223,2128,2132,2022,2085,2033,2138,1987,2268,2007
"Total","2 years",2333,2241,2150,2199,2236,2137,2164,2054,2110,2047,2159,1997
"Total","3 years",2324,2189,2319,2227,2156,2210,2256,2154,2180,2079,2131,2052
"Total","4 years",2499,2383,2299,2187,2313,2242,2193,2240,2286,2170,2199,2087
"Total","5 years",2513,2362,2485,2368,2330,2204,2345,2252,2198,2261,2287,2186
"Total","6 years",2438,2282,2512,2344,2487,2381,2367,2212,2351,2267,2217,2264
"Total","7 years",2343,2199,2436,2272,2535,2369,2508,2401,2397,2230,2371,2276
"Total","8 years",2299,2170,2332,2199,2452,2296,2559,2398,2529,2404,2405,2258
"Total","9 years",2259,2133,2299,2161,2342,2210,2471,2322,2576,2407,2551,2412
"Total","10 years",2230,2150,2247,2114,2318,2183,2360,2231,2488,2346,2601,2424
"Total","11 years",2129,2099,2228,2151,2248,2112,2345,2205,2382,2248,2504,2366
"Total","12 years",2064,2032,2130,2099,2252,2164,2267,2140,2359,2221,2397,2267
"Total","13 years",2148,2059,2069,2051,2146,2119,2267,2184,2292,2148,2376,2225
"Total","14 years",2241,2173,2140,2058,2092,2079,2165,2136,2281,2204,2308,2162
"Total","15 years",2096,2158,2238,2173,2160,2072,2114,2092,2180,2149,2299,2222
"Total","16 years",2229,2117,2097,2157,2255,2200,2190,2088,2126,2115,2196,2154
"Total","17 years",2281,2123,2231,2119,2117,2164,2283,2209,2211,2110,2143,2131
"Total","18 years",2349,2217,2287,2150,2261,2155,2146,2208,2311,2231,2263,2135
"Total","19 years",2341,2199,2408,2261,2341,2218,2356,2239,2208,2304,2388,2312
"Total","20 years",2457,2388,2398,2259,2495,2309,2451,2297,2456,2322,2324,2372
"Total","21 years",2540,2492,2500,2452,2475,2300,2630,2379,2580,2391,2561,2386
"Total","22 years",2631,2412,2598,2547,2593,2455,2618,2403,2717,2502,2680,2481
"Total","23 years",2573,2343,2661,2443,2700,2621,2770,2578,2737,2547,2834,2614
"Total","24 years",2682,2521,2635,2393,2746,2492,2862,2733,2950,2711,2852,2666
"Total","25 years",2466,2410,2718,2537,2738,2463,2907,2622,3091,2861,3105,2781
"Total","26 years",2613,2402,2533,2452,2815,2606,3000,2594,3123,2737,3231,2970
"Total","27 years",2367,2194,2668,2402,2654,2452,3100,2738,3218,2686,3305,2818
"Total","28 years",2196,2172,2398,2224,2786,2432,2892,2556,3270,2820,3316,2765
"Total","29 years",2197,2217,2266,2172,2502,2253,2985,2537,3100,2665,3371,2905
