"Deaths by municipalities, sex and age 1981-2019"

"Year","Municipality","Age","Males","Females"
"2015","Total","On 1st year",4,5
"2015","Total","1 year",0,0
"2015","Total","2 years",3,0
"2015","Total","3 years",0,1
"2015","Total","4 years",0,0
"2015","Total","5 years",1,0
"2015","Total","6 years",0,0
"2015","Total","7 years",0,0
"2015","Total","8 years",0,0
"2015","Total","9 years",0,0
"2015","Total","10 years",0,0
"2015","Total","11 years",1,0
"2015","Total","12 years",1,1
"2015","Total","13 years",0,0
"2015","Total","14 years",0,0
"2015","Total","15 years",0,1
"2015","Total","16 years",0,0
"2015","Total","17 years",0,2
"2015","Total","18 years",5,0
"2015","Total","19 years",1,0
"2015","Total","20 years",0,1
"2015","Total","21 years",0,0
"2015","Total","22 years",0,0
"2015","Total","23 years",2,0
"2015","Total","24 years",3,0
"2015","Total","25 years",2,0
"2015","Total","26 years",1,0
"2015","Total","27 years",3,1
"2015","Total","28 years",1,0
"2015","Total","29 years",1,1
"2015","Total","30 years",3,0
"2015","Total","31 years",2,1
"2015","Total","32 years",1,1
"2015","Total","33 years",3,0
"2015","Total","34 years",2,0
"2015","Total","35 years",1,1
"2015","Total","36 years",1,1
"2015","Total","37 years",4,1
"2015","Total","38 years",2,1
"2015","Total","39 years",3,0
"2015","Total","40 years",1,2
"2015","Total","41 years",4,4
"2015","Total","42 years",2,1
"2015","Total","43 years",7,5
"2015","Total","44 years",0,1
"2015","Total","45 years",2,1
"2015","Total","46 years",1,0
"2015","Total","47 years",3,3
"2015","Total","48 years",4,3
"2015","Total","49 years",6,4
"2015","Total","50 years",8,5
"2015","Total","51 years",6,5
"2015","Total","52 years",5,4
"2015","Total","53 years",5,4
"2015","Total","54 years",6,5
"2015","Total","55 years",11,7
"2015","Total","56 years",9,5
"2015","Total","57 years",9,9
"2015","Total","58 years",8,8
"2015","Total","59 years",14,6
"2015","Total","60 years",4,7
"2015","Total","61 years",6,11
"2015","Total","62 years",12,12
"2015","Total","63 years",6,9
"2015","Total","64 years",10,10
"2015","Total","65 years",28,16
"2015","Total","66 years",10,12
"2015","Total","67 years",16,13
"2015","Total","68 years",18,10
"2015","Total","69 years",14,14
"2015","Total","70 years",19,19
"2015","Total","71 years",28,12
"2015","Total","72 years",25,21
"2015","Total","73 years",21,16
"2015","Total","74 years",18,16
"2015","Total","75 years",20,22
"2015","Total","76 years",16,13
"2015","Total","77 years",21,25
"2015","Total","78 years",34,14
"2015","Total","79 years",17,24
"2015","Total","80 years",32,30
"2015","Total","81 years",34,42
"2015","Total","82 years",39,34
"2015","Total","83 years",41,43
"2015","Total","84 years",42,50
"2015","Total","85 years",38,42
"2015","Total","86 years",33,39
"2015","Total","87 years",50,45
"2015","Total","88 years",48,49
"2015","Total","89 years",39,52
"2015","Total","90 years",28,46
"2015","Total","91 years",32,44
"2015","Total","92 years",25,42
"2015","Total","93 years",23,35
"2015","Total","94 years",13,32
"2015","Total","95 years",15,27
"2015","Total","96 years",13,20
"2015","Total","97 years",3,17
"2015","Total","98 years",4,7
"2015","Total","99 years",5,9
"2015","Total","100 years",1,1
"2015","Total","101 years",1,2
"2015","Total","102 years",0,4
"2015","Total","103 years",0,1
"2015","Total","104 years",0,1
"2015","Total","105 years",0,1
"2015","Total","106 years",0,1
"2015","Total","107 years",0,0
"2015","Total","108 years",0,0
"2015","Total","109 years",0,1
"2016","Total","On 1st year",2,1
"2016","Total","1 year",1,0
"2016","Total","2 years",0,1
"2016","Total","3 years",0,1
"2016","Total","4 years",2,0
"2016","Total","5 years",0,0
"2016","Total","6 years",0,0
"2016","Total","7 years",0,0
"2016","Total","8 years",0,1
"2016","Total","9 years",0,0
"2016","Total","10 years",1,0
"2016","Total","11 years",0,0
"2016","Total","12 years",0,0
"2016","Total","13 years",0,0
"2016","Total","14 years",0,0
"2016","Total","15 years",1,0
"2016","Total","16 years",1,0
"2016","Total","17 years",2,0
"2016","Total","18 years",2,0
"2016","Total","19 years",2,0
"2016","Total","20 years",2,0
"2016","Total","21 years",0,0
"2016","Total","22 years",0,2
"2016","Total","23 years",2,2
"2016","Total","24 years",0,1
"2016","Total","25 years",2,1
"2016","Total","26 years",1,0
"2016","Total","27 years",5,0
"2016","Total","28 years",3,1
"2016","Total","29 years",0,0
"2016","Total","30 years",3,2
"2016","Total","31 years",2,0
"2016","Total","32 years",1,0
"2016","Total","33 years",4,1
"2016","Total","34 years",4,0
"2016","Total","35 years",5,1
"2016","Total","36 years",0,0
"2016","Total","37 years",5,1
"2016","Total","38 years",2,0
"2016","Total","39 years",4,1
"2016","Total","40 years",1,0
"2016","Total","41 years",2,2
"2016","Total","42 years",5,1
"2016","Total","43 years",2,0
"2016","Total","44 years",2,1
"2016","Total","45 years",4,0
"2016","Total","46 years",1,0
"2016","Total","47 years",4,1
"2016","Total","48 years",3,4
"2016","Total","49 years",6,5
"2016","Total","50 years",2,5
"2016","Total","51 years",4,3
"2016","Total","52 years",3,4
"2016","Total","53 years",4,1
"2016","Total","54 years",7,8
"2016","Total","55 years",9,8
"2016","Total","56 years",7,5
"2016","Total","57 years",10,8
"2016","Total","58 years",11,8
"2016","Total","59 years",11,7
"2016","Total","60 years",9,8
"2016","Total","61 years",15,10
"2016","Total","62 years",10,7
"2016","Total","63 years",16,9
"2016","Total","64 years",8,15
"2016","Total","65 years",20,10
"2016","Total","66 years",14,10
"2016","Total","67 years",17,18
"2016","Total","68 years",23,13
"2016","Total","69 years",20,16
"2016","Total","70 years",23,12
"2016","Total","71 years",24,16
"2016","Total","72 years",32,20
"2016","Total","73 years",26,27
