"The labour force among permanent residents aged 18-65 years by time, quarter, district, place of residence, age and gender <em>[ARESTK1]</em> "

"time","district","age","gender","Labour force in average per month","Unemployment in average per month"
"2010","Nanortalik","18-19 years","Men",14,5
"2010","Nanortalik","18-19 years","Women",16,5
"2010","Nanortalik","20-24 years","Men",53,17
"2010","Nanortalik","20-24 years","Women",42,15
"2010","Nanortalik","25-29 years","Men",55,15
"2010","Nanortalik","25-29 years","Women",40,8
"2010","Nanortalik","30-34 years","Men",42,12
"2010","Nanortalik","30-34 years","Women",43,8
"2010","Nanortalik","35-39 years","Men",42,8
"2010","Nanortalik","35-39 years","Women",26,6
"2010","Nanortalik","40-44 years","Men",59,17
"2010","Nanortalik","40-44 years","Women",65,11
"2010","Nanortalik","45-49 years","Men",58,9
"2010","Nanortalik","45-49 years","Women",60,6
"2010","Nanortalik","50-54 years","Men",60,9
"2010","Nanortalik","50-54 years","Women",38,6
"2010","Nanortalik","55-59 years","Men",49,8
"2010","Nanortalik","55-59 years","Women",28,4
"2010","Nanortalik","Over 60 years","Men",35,5
"2010","Nanortalik","Over 60 years","Women",12,0
"2010","Qaqortoq","18-19 years","Men",23,3
"2010","Qaqortoq","18-19 years","Women",26,4
"2010","Qaqortoq","20-24 years","Men",101,14
"2010","Qaqortoq","20-24 years","Women",85,16
"2010","Qaqortoq","25-29 years","Men",84,11
"2010","Qaqortoq","25-29 years","Women",68,9
"2010","Qaqortoq","30-34 years","Men",77,8
"2010","Qaqortoq","30-34 years","Women",56,9
"2010","Qaqortoq","35-39 years","Men",61,6
"2010","Qaqortoq","35-39 years","Women",59,6
"2010","Qaqortoq","40-44 years","Men",116,10
"2010","Qaqortoq","40-44 years","Women",98,9
"2010","Qaqortoq","45-49 years","Men",139,17
"2010","Qaqortoq","45-49 years","Women",136,10
"2010","Qaqortoq","50-54 years","Men",122,13
"2010","Qaqortoq","50-54 years","Women",96,6
"2010","Qaqortoq","55-59 years","Men",87,11
"2010","Qaqortoq","55-59 years","Women",68,6
"2010","Qaqortoq","Over 60 years","Men",63,10
"2010","Qaqortoq","Over 60 years","Women",38,1
"2010","Narsaq","18-19 years","Men",14,4
"2010","Narsaq","18-19 years","Women",11,1
"2010","Narsaq","20-24 years","Men",44,10
"2010","Narsaq","20-24 years","Women",35,7
"2010","Narsaq","25-29 years","Men",38,6
"2010","Narsaq","25-29 years","Women",38,9
"2010","Narsaq","30-34 years","Men",30,7
"2010","Narsaq","30-34 years","Women",27,5
"2010","Narsaq","35-39 years","Men",21,3
"2010","Narsaq","35-39 years","Women",29,1
"2010","Narsaq","40-44 years","Men",58,10
"2010","Narsaq","40-44 years","Women",49,6
"2010","Narsaq","45-49 years","Men",89,10
"2010","Narsaq","45-49 years","Women",78,7
"2010","Narsaq","50-54 years","Men",72,12
"2010","Narsaq","50-54 years","Women",59,7
"2010","Narsaq","55-59 years","Men",50,9
"2010","Narsaq","55-59 years","Women",39,2
"2010","Narsaq","Over 60 years","Men",45,5
"2010","Narsaq","Over 60 years","Women",23,0
"2010","Ivittuut","18-19 years","Men",0,0
"2010","Ivittuut","18-19 years","Women",0,0
"2010","Ivittuut","20-24 years","Men",1,0
"2010","Ivittuut","20-24 years","Women",3,0
"2010","Ivittuut","25-29 years","Men",8,0
"2010","Ivittuut","25-29 years","Women",4,0
"2010","Ivittuut","30-34 years","Men",8,0
"2010","Ivittuut","30-34 years","Women",1,0
"2010","Ivittuut","35-39 years","Men",9,0
"2010","Ivittuut","35-39 years","Women",5,0
"2010","Ivittuut","40-44 years","Men",14,0
"2010","Ivittuut","40-44 years","Women",2,0
"2010","Ivittuut","45-49 years","Men",12,0
"2010","Ivittuut","45-49 years","Women",0,0
"2010","Ivittuut","50-54 years","Men",8,0
"2010","Ivittuut","50-54 years","Women",1,0
"2010","Ivittuut","55-59 years","Men",6,0
"2010","Ivittuut","55-59 years","Women",1,0
"2010","Ivittuut","Over 60 years","Men",3,0
"2010","Ivittuut","Over 60 years","Women",3,0
"2010","Paamiut","18-19 years","Men",12,4
"2010","Paamiut","18-19 years","Women",9,1
"2010","Paamiut","20-24 years","Men",44,9
"2010","Paamiut","20-24 years","Women",32,7
"2010","Paamiut","25-29 years","Men",56,12
"2010","Paamiut","25-29 years","Women",39,6
"2010","Paamiut","30-34 years","Men",44,5
"2010","Paamiut","30-34 years","Women",23,3
"2010","Paamiut","35-39 years","Men",25,5
"2010","Paamiut","35-39 years","Women",23,3
"2010","Paamiut","40-44 years","Men",56,5
"2010","Paamiut","40-44 years","Women",44,2
"2010","Paamiut","45-49 years","Men",77,12
"2010","Paamiut","45-49 years","Women",54,4
"2010","Paamiut","50-54 years","Men",62,8
"2010","Paamiut","50-54 years","Women",38,2
"2010","Paamiut","55-59 years","Men",48,4
"2010","Paamiut","55-59 years","Women",25,3
"2010","Paamiut","Over 60 years","Men",34,3
"2010","Paamiut","Over 60 years","Women",19,2
"2010","Nuuk","18-19 years","Men",119,13
"2010","Nuuk","18-19 years","Women",114,6
"2010","Nuuk","20-24 years","Men",398,26
"2010","Nuuk","20-24 years","Women",365,20
"2010","Nuuk","25-29 years","Men",445,23
"2010","Nuuk","25-29 years","Women",417,16
"2010","Nuuk","30-34 years","Men",515,22
"2010","Nuuk","30-34 years","Women",437,13
"2010","Nuuk","35-39 years","Men",491,13
"2010","Nuuk","35-39 years","Women",380,12
"2010","Nuuk","40-44 years","Men",621,32
"2010","Nuuk","40-44 years","Women",572,27
"2010","Nuuk","45-49 years","Men",713,38
"2010","Nuuk","45-49 years","Women",618,32
"2010","Nuuk","50-54 years","Men",629,31
"2010","Nuuk","50-54 years","Women",467,21
"2010","Nuuk","55-59 years","Men",401,17
"2010","Nuuk","55-59 years","Women",318,6
"2010","Nuuk","Over 60 years","Men",253,6
"2010","Nuuk","Over 60 years","Women",148,4
"2010","Maniitsoq","18-19 years","Men",30,4
"2010","Maniitsoq","18-19 years","Women",20,4
"2010","Maniitsoq","20-24 years","Men",83,14
"2010","Maniitsoq","20-24 years","Women",76,16
"2010","Maniitsoq","25-29 years","Men",86,8
"2010","Maniitsoq","25-29 years","Women",71,10
"2010","Maniitsoq","30-34 years","Men",90,8
"2010","Maniitsoq","30-34 years","Women",63,6
"2010","Maniitsoq","35-39 years","Men",77,6
"2010","Maniitsoq","35-39 years","Women",62,2
"2010","Maniitsoq","40-44 years","Men",119,10
"2010","Maniitsoq","40-44 years","Women",87,7
"2010","Maniitsoq","45-49 years","Men",140,11
"2010","Maniitsoq","45-49 years","Women",128,7
"2010","Maniitsoq","50-54 years","Men",122,11
"2010","Maniitsoq","50-54 years","Women",83,4
"2010","Maniitsoq","55-59 years","Men",87,5
"2010","Maniitsoq","55-59 years","Women",55,4
"2010","Maniitsoq","Over 60 years","Men",59,5
"2010","Maniitsoq","Over 60 years","Women",39,1
"2010","Sisimiut","18-19 years","Men",64,5
"2010","Sisimiut","18-19 years","Women",62,8
"2010","Sisimiut","20-24 years","Men",209,10
"2010","Sisimiut","20-24 years","Women",146,15
"2010","Sisimiut","25-29 years","Men",169,10
"2010","Sisimiut","25-29 years","Women",137,11
"2010","Sisimiut","30-34 years","Men",156,6
"2010","Sisimiut","30-34 years","Women",130,8
"2010","Sisimiut","35-39 years","Men",147,6
"2010","Sisimiut","35-39 years","Women",146,6
"2010","Sisimiut","40-44 years","Men",263,10
"2010","Sisimiut","40-44 years","Women",217,11
"2010","Sisimiut","45-49 years","Men",224,7
"2010","Sisimiut","45-49 years","Women",232,8
"2010","Sisimiut","50-54 years","Men",216,7
"2010","Sisimiut","50-54 years","Women",167,4
"2010","Sisimiut","55-59 years","Men",146,4
"2010","Sisimiut","55-59 years","Women",103,3
"2010","Sisimiut","Over 60 years","Men",113,3
"2010","Sisimiut","Over 60 years","Women",47,1
"2010","Kangaatsiaq","18-19 years","Men",12,5
"2010","Kangaatsiaq","18-19 years","Women",11,6
"2010","Kangaatsiaq","20-24 years","Men",43,12
"2010","Kangaatsiaq","20-24 years","Women",30,13
"2010","Kangaatsiaq","25-29 years","Men",38,10
"2010","Kangaatsiaq","25-29 years","Women",23,10
"2010","Kangaatsiaq","30-34 years","Men",17,3
"2010","Kangaatsiaq","30-34 years","Women",26,6
"2010","Kangaatsiaq","35-39 years","Men",22,5
"2010","Kangaatsiaq","35-39 years","Women",21,2
"2010","Kangaatsiaq","40-44 years","Men",36,5
"2010","Kangaatsiaq","40-44 years","Women",32,5
"2010","Kangaatsiaq","45-49 years","Men",43,4
"2010","Kangaatsiaq","45-49 years","Women",41,5
"2010","Kangaatsiaq","50-54 years","Men",44,5
"2010","Kangaatsiaq","50-54 years","Women",31,4
"2010","Kangaatsiaq","55-59 years","Men",24,2
"2010","Kangaatsiaq","55-59 years","Women",11,1
"2010","Kangaatsiaq","Over 60 years","Men",8,1
"2010","Kangaatsiaq","Over 60 years","Women",2,0
"2010","Aasiaat","18-19 years","Men",40,3
"2010","Aasiaat","18-19 years","Women",25,3
"2010","Aasiaat","20-24 years","Men",84,10
"2010","Aasiaat","20-24 years","Women",76,10
"2010","Aasiaat","25-29 years","Men",95,9
"2010","Aasiaat","25-29 years","Women",64,9
"2010","Aasiaat","30-34 years","Men",49,4
"2010","Aasiaat","30-34 years","Women",55,5
"2010","Aasiaat","35-39 years","Men",77,3
"2010","Aasiaat","35-39 years","Women",56,5
"2010","Aasiaat","40-44 years","Men",125,13
"2010","Aasiaat","40-44 years","Women",108,10
"2010","Aasiaat","45-49 years","Men",144,14
"2010","Aasiaat","45-49 years","Women",105,7
"2010","Aasiaat","50-54 years","Men",104,9
"2010","Aasiaat","50-54 years","Women",57,3
"2010","Aasiaat","55-59 years","Men",67,5
"2010","Aasiaat","55-59 years","Women",51,2
"2010","Aasiaat","Over 60 years","Men",56,2
"2010","Aasiaat","Over 60 years","Women",35,1
"2010","Qasigiannguit","18-19 years","Men",13,2
"2010","Qasigiannguit","18-19 years","Women",11,2
"2010","Qasigiannguit","20-24 years","Men",40,2
"2010","Qasigiannguit","20-24 years","Women",32,4
"2010","Qasigiannguit","25-29 years","Men",32,2
"2010","Qasigiannguit","25-29 years","Women",28,2
"2010","Qasigiannguit","30-34 years","Men",39,4
"2010","Qasigiannguit","30-34 years","Women",23,1
"2010","Qasigiannguit","35-39 years","Men",38,3
"2010","Qasigiannguit","35-39 years","Women",38,3
"2010","Qasigiannguit","40-44 years","Men",53,2
"2010","Qasigiannguit","40-44 years","Women",41,2
"2010","Qasigiannguit","45-49 years","Men",43,3
"2010","Qasigiannguit","45-49 years","Women",45,2
"2010","Qasigiannguit","50-54 years","Men",33,3
"2010","Qasigiannguit","50-54 years","Women",30,1
"2010","Qasigiannguit","55-59 years","Men",33,3
"2010","Qasigiannguit","55-59 years","Women",23,1
"2010","Qasigiannguit","Over 60 years","Men",24,3
"2010","Qasigiannguit","Over 60 years","Women",17,0
"2010","Ilulissat","18-19 years","Men",36,6
"2010","Ilulissat","18-19 years","Women",36,7
"2010","Ilulissat","20-24 years","Men",130,10
"2010","Ilulissat","20-24 years","Women",105,14
"2010","Ilulissat","25-29 years","Men",116,9
"2010","Ilulissat","25-29 years","Women",122,14
"2010","Ilulissat","30-34 years","Men",132,6
"2010","Ilulissat","30-34 years","Women",129,9
"2010","Ilulissat","35-39 years","Men",143,7
